chinese	english
時尚設計系(服飾創意設計組)	Department of Fashion Design (Clothing Creative Design Group)
時尚設計與管理系	Department of Fashion Design and Management
時尚造型事業系	Department of Fashion Styling Business
時尚造型與視訊傳播系	Department of Fashion Styling and Video Communication
時尚造型與設計系	Department of Fashion Styling and Design
時尚造型設計管理系	Department of Fashion Design Management
時尚造型設計管理系（淡水校區）	Department of Fashion Design Management (Tsui Campus)
時尚造型設計系	Department of Fashion Design
時尚造型設計系時尚表演藝術組	Department of Fashion Design, Fashion Performing Arts Group
時尚造型設計系時尚造型設計組	Fashion Design Department Fashion Design Group
時尚造形設計系	Department of Fashion Design
景文科技大學	Jingwen University of Science and Technology
景觀及都市設計系	Department of Landscape and Urban Design
景觀學系	Department of Landscape Science
景觀學系(A組)	Department of Landscape Science (Group A)
景觀學系(B組)	Department of Landscape Science (Group B)
景觀學系(社會組)	Department of Landscape Studies (Social Section)
景觀學系(自然組)	Department of Landscape Science (Natural Group)
景觀學系A組	Department of Landscape Science Group A
景觀學系B組	Department of Landscape Science Group B
景觀建築學系	Department of Landscape Architecture
景觀建築學系景觀設計組	Landscape Design Group, Department of Landscape Architecture
景觀建築學系產品設計組	Product Design Group, Department of Landscape Architecture
景觀系	Department of Landscape
景觀與環境設計學系	Department of Landscape and Environmental Design
景觀與遊憩學士學位學程	Bachelor's Degree in Landscape and Recreation
景觀設計學系	Department of Landscape Architecture
景觀設計學系(社會組)	Department of Landscape Architecture (Social Section)
景觀設計學系(自然組)	Department of Landscape Architecture (Natural Group)
景觀造園與維護系	Department of Landscape Architecture and Maintenance
晶片設計學士學位學程	Bachelor's Degree in Chip Design
智慧健康數位服務學士學位學程	Bachelor's Degree Program in Smart Health Digital Services
智慧創意工程學士學位學程	Bachelor's Degree Program in Smart Creative Engineering
智慧化自動控制英語學位學程	Intelligent Automatic Control English Degree Program
智慧化自動控制英語學士學位學程	Intelligent Automatic Control English Bachelor's Degree Program
智慧商務系	Department of Smart Business
智慧商務系（燕巢校區）	Department of Smart Business (Yanchao Campus)
智慧商務經營管理系	Department of Intelligent Business Management
智慧商務經營管理系（臺北校區）	Department of Smart Business Management (Taipei Campus)
智慧媒體與創新科技應用學士學位學程	Smart Media and Innovative Technology Applied Bachelor's Degree Program
智慧暨精緻農業學系	Department of Smart and Precision Agriculture
智慧服務管理英語學位學程	Smart Service Management English Degree Program
智慧服務管理英語學士學位學程	Intelligent Service Management English Bachelor's Degree Program
智慧服務管理英語學士學位學程(臺北校	Intelligent Service Management English Bachelor's Degree Program (Taipei Campus
智慧服務管理英語學士學位學程(臺北校區)	English Bachelor's Degree Program in Smart Service Management (Taipei Campus)
智慧服務管理英語學士學位學程A組(臺	Intelligent Service Management English Bachelor's Degree Program Group A (Taiwan
智慧服務管理英語學士學位學程B組(臺	Intelligent Service Management English Bachelor's Degree Program Group B (Taiwan
智慧機器人學士學位學程	Bachelor's Degree Program in Intelligent Robotics
智慧機器人學系	Department of Intelligent Robotics
智慧機器人工程系	Department of Intelligent Robot Engineering
智慧機電學士學位學程	Bachelor's Degree Program in Smart Mechatronics
智慧機電工程與應用系	Department of Intelligent Mechanical and Electrical Engineering and Application
智慧生產工程系	Department of Intelligent Production Engineering
智慧科技應用系	Department of Smart Technology Application
智慧科技英語學士學位學程	Bachelor's Degree Program in English for Smart Technology
智慧網路科技學系	Department of Smart Network Technology
智慧網路科技學系智慧網通科	Department of Smart Network Technology, Smart Network Section
智慧網路科技學系智慧網通科技組	Smart Network Technology Group, Department of Smart Network Technology
智慧網路科技學系智慧軟體應用組	Smart Software Application Group, Department of Smart Network Technology
智慧自動化工程系	Department of Intelligent Automation Engineering
智慧自動化工程系機械組	Mechanical Group, Department of Intelligent Automation Engineering
智慧自動化工程系電機組	Intelligent Automation Engineering Department Electrical Unit
智慧製造工程系	Department of Smart Manufacturing Engineering
智慧製造科技系	Department of Smart Manufacturing Technology
智慧計算暨應用數學系	Department of Intelligent Computing and Applied Mathematics
智慧車輛工程學系	Department of Intelligent Vehicle Engineering
智慧車輛系	Smart vehicle system
智慧車輛與能源系	Department of Intelligent Vehicles and Energy
書畫藝術學系	Department of Painting and Calligraphy
書畫藝術學系(乙組)	Department of Painting and Calligraphy (Group B)
書畫藝術學系(甲組)	Department of Painting and Calligraphy (Group A)
書畫藝術學系甲組	Group A, Department of Calligraphy and Painting Art
會展暨文創事業管理學士學位學程	Bachelor's Degree Program in Convention, Exhibition and Cultural Creative Industry Management
會展活動管理系	Department of Exhibition and Event Management
會展行銷與活動管理系	Department of Exhibition Marketing and Event Management
會計學系	Department of Accounting
會計學系(A組)	Department of Accounting (Group A)
會計學系(B組)	Department of Accounting (Group B)
會計學系(社會組)	Department of Accounting (Social Section)
會計學系(自然組)	Department of Accounting (natural group)
會計學系(臺北校區)	Department of Accounting (Taipei Campus)
會計學系A組	Accounting Department Group A
會計學系B組	Accounting Department Group B
